"7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
2000,15 do 19 let,3933,40146,2,7,66,10
,20 do 24 let,56672,774785,3,13,91,14
,25 do 29 let,112913,1575288,4,14,102,14
,30 do 34 let,141867,1863133,4,15,114,13
,35 do 39 let,132661,1962049,4,15,100,15
,40 do 44 let,114348,2145777,5,17,88,19
,45 do 49 let,105344,2488926,6,20,86,24
,50 do 54 let,65366,1837973,7,24,85,28
,55 do 59 let,18542,672918,8,29,79,36
,60 do 64 let,2361,111290,7,27,57,47
,65 do 69 let,173,7860,5,17,37,45
,70 in veè let,66,1433,4,16,73,22
,Neznano,492,6399,-,-,-,-
2001,15 do 19 let,3270,32332,2,7,73,10
,20 do 24 let,53228,741841,4,13,95,14
,25 do 29 let,109528,1522258,4,14,99,14
,30 do 34 let,136938,1800289,4,15,113,13
,35 do 39 let,132939,1910635,4,14,100,14
,40 do 44 let,111054,2085199,4,16,86,19
,45 do 49 let,101800,2452786,5,20,82,24
,50 do 54 let,68388,1932574,6,23,82,28
,55 do 59 let,20427,721289,7,27,77,35
,60 do 64 let,2578,118464,7,25,54,46
,65 do 69 let,147,6133,3,12,29,42
,70 in veè let,24,1411,4,14,24,59
,Neznano,454,7147,-,-,-,-
2002,15 do 19 let,2523,27044,2,7,66,11
,20 do 24 let,46340,657569,4,13,91,14
,25 do 29 let,106040,1551264,4,14,97,15
,30 do 34 let,132952,1775352,4,15,112,13
,35 do 39 let,131418,1929636,4,15,100,15
,40 do 44 let,107939,2035487,4,16,84,19
,45 do 49 let,101223,2444079,5,20,82,24
,50 do 54 let,73745,2118130,7,24,83,29
,55 do 59 let,24023,862729,8,29,80,36
,60 do 64 let,3115,139102,7,27,60,45
,65 do 69 let,207,8707,4,16,37,42
,70 in veè let,35,882,2,9,34,25
,Neznano,1566,27570,-,-,-,-
2003,15 do 19 let,2260,25571,2,7,65,11
,20 do 24 let,44173,626184,4,13,93,14
,25 do 29 let,108927,1593178,4,15,101,15
,30 do 34 let,138070,1834853,4,16,116,13
,35 do 39 let,135263,1951771,4,15,105,14
,40 do 44 let,111063,2085232,5,16,87,19
,45 do 49 let,102860,2427735,5,20,84,24
,50 do 54 let,79483,2306456,7,24,84,29
,55 do 59 let,27815,927963,8,27,82,33
,60 do 64 let,3347,142540,7,26,61,43
,65 do 69 let,210,7560,3,12,34,36
,70 in veè let,41,1276,3,11,36,31
,Neznano,68,984,-,-,-,-
