"2: Kazalniki po razlogih bolniškega staleža in spolu, Slovenija, letno po spremenljivkah: Leto, Spol, Razlog zadržanosti in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
2000,Bolezen,520556,9759491,3,12,66,19
,Poškodbe izven dela,64140,1858339,1,2,8,29
,Poklicna bolezen,119,4320,0,0,0,36
,Poškodbe pri delu,34540,1181782,0,1,4,34
,Poškodbe po 3. osebi izven dela,1733,64809,0,0,0,37
,Nega družinskega èlana,98859,568113,0,1,12,6
,Transplantacija,19,814,0,0,0,43
,Izolacija,68,3669,0,0,0,54
,Spremstvo,34637,44048,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,36,1013,0,0,0,28
,Poškodbe pri delu po 18. èl. ZZVZZ,31,1579,0,0,0,51
,Neznano,-,-,-,-,-,-
2001,Bolezen,497563,9524043,3,12,63,19
,Poškodbe izven dela,64794,1893221,1,2,8,29
,Poklicna bolezen,104,2915,0,0,0,28
,Poškodbe pri delu,33928,1174263,0,1,4,35
,Poškodbe po 3. osebi izven dela,1983,70912,0,0,0,36
,Nega družinskega èlana,106198,616637,0,1,13,6
,Transplantacija,15,522,0,0,0,35
,Izolacija,76,3174,0,0,0,42
,Spremstvo,36052,45467,0,0,5,1
,Usposabljanje za rehabilitacijo otroka,46,594,0,0,0,13
,Poškodbe pri delu po 18. èl. ZZVZZ,16,610,0,0,0,38
,Neznano,-,-,-,-,-,-
2002,Bolezen,490675,9667317,3,12,62,20
,Poškodbe izven dela,66974,2039297,1,3,8,30
,Poklicna bolezen,86,4448,0,0,0,52
,Poškodbe pri delu,33722,1203235,0,2,4,36
,Poškodbe po 3. osebi izven dela,2202,80215,0,0,0,36
,Nega družinskega èlana,103904,544672,0,1,13,5
,Transplantacija,14,208,0,0,0,15
,Izolacija,43,2641,0,0,0,61
,Spremstvo,33453,37598,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,56,552,0,0,0,10
,Poškodbe pri delu po 18. èl. ZZVZZ,22,1540,0,0,0,70
,Neznano,2,51,-,-,-,-
2003,Bolezen,506280,8513127,3,11,64,17
,Poškodbe izven dela,68184,1802086,1,2,9,26
,Poklicna bolezen,55,1977,0,0,0,36
,Poškodbe pri delu,34376,1064205,0,1,4,31
,Poškodbe po 3. osebi izven dela,3178,96597,0,0,0,30
,Nega družinskega èlana,108261,541889,0,1,14,5
,Transplantacija,19,757,0,0,0,40
,Izolacija,59,1704,0,0,0,29
