"6: Kazalniki bolniškega staleža po statistiènih regijah in spolu, Slovenija, letno po spremenljivkah: Leto, Spol, Statistièna regija in Kazalnik",,,,,,,,
,,,,,,,,
,,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
2005,Spol - SKUPAJ,Pomurska,36437,631382,4,15,87,17
,,Podravska,110880,1999983,5,17,91,18
,,Koroška,23853,450385,5,17,88,19
,,Savinjska,90937,1920442,5,18,86,21
,,Zasavska,10346,415456,8,30,74,40
,,Posavska,23518,361655,4,16,103,15
,,Jugovzhodna,53692,997639,5,19,100,19
,,Osrednjeslovenska,226666,4386845,5,17,87,19
,,Gorenjska,64878,1186473,4,16,86,18
,,Primorsko-notranjska,24432,354730,5,20,135,15
,,Goriška,69638,753088,4,16,143,11
,,Obalno kraška,54558,851490,5,19,121,16
,,Neznano,88,2517,-,-,-,-
2006,Spol - SKUPAJ,Pomurska,31983,608766,4,15,76,19
,,Podravska,102745,1899782,4,15,83,19
,,Koroška,21093,446621,5,16,78,21
,,Savinjska,78538,1778667,5,17,74,23
,,Zasavska,7811,282156,6,21,57,36
,,Posavska,21443,363319,4,16,93,17
,,Jugovzhodna,46618,894618,5,17,86,19
,,Osrednjeslovenska,196301,3836227,4,14,73,20
,,Gorenjska,59270,1078349,4,14,79,18
,,Primorsko-notranjska,20110,307717,5,17,113,15
,,Goriška,59896,675091,4,14,121,11
,,Obalno kraška,49361,852776,5,18,107,17
,,Neznano,114,2607,-,-,-,-
2007,Spol - SKUPAJ,Pomurska,32966,672287,4,16,78,20
,,Podravska,113667,2075450,4,16,88,18
,,Koroška,23506,471381,5,17,85,20
,,Savinjska,90767,2040338,5,19,83,23
,,Zasavska,9329,289379,6,21,68,31
,,Posavska,22216,393068,5,17,94,18
,,Jugovzhodna,51316,986166,5,18,92,19
,,Osrednjeslovenska,240320,4030467,4,14,85,17
,,Gorenjska,63341,1105180,4,15,83,17
,,Primorsko-notranjska,22742,331982,5,18,125,15
,,Goriška,66724,743127,4,15,130,11
,,Obalno kraška,51843,954158,5,20,107,18
,,Neznano,154,2123,-,-,-,-
2008,Spol - SKUPAJ,Pomurska,36590,793994,5,19,86,22
,,Podravska,106459,2096402,4,16,81,20
,,Koroška,21495,501861,5,18,78,23
,,Savinjska,80524,1876045,5,17,72,23
,,Zasavska,8385,276581,6,20,62,33
,,Posavska,20029,332004,4,14,82,17
,,Jugovzhodna,45638,897687,4,16,82,20
,,Osrednjeslovenska,235210,4163175,4,14,81,18
,,Gorenjska,60875,1107994,4,14,79,18
,,Primorsko-notranjska,20616,342288,5,19,112,17
