"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
2008,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6990,236745,4,13,38,34
,B RUDARSTVO,2753,70847,6,20,79,26
,C PREDELOVALNE DEJAVNOSTI,225000,4301692,5,20,102,19
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",6510,107461,4,14,86,17
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",7176,154896,5,17,80,22
,F GRADBENIŠTVO,45621,1045411,3,12,51,23
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",80455,1595509,4,13,67,20
,H PROMET IN SKLADIŠÈENJE,31055,653020,4,13,62,21
,I GOSTINSTVO,18122,468129,4,15,56,26
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,16781,209126,3,9,76,13
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,27140,339961,4,13,107,13
,L POSLOVANJE Z NEPREMIÈNINAMI,2260,45136,3,11,57,20
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",24720,392896,2,9,54,16
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21038,445274,5,17,81,21
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",69419,886467,5,17,130,13
,P IZOBRAŽEVANJE,65616,888437,4,14,101,14
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,55347,1007415,5,19,104,18
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",9729,160626,3,11,66,17
,S DRUGE DEJAVNOSTI,6172,142835,3,11,49,23
